Rider_ID,Subcounty_ID,Subcounty,Latitude,Longitude,Daily_Distance_km,Daily_Income_KES,Income_Volatility,Distance_to_BSS_km,Petrol_Daily_Cost_KES,Electric_Daily_Cost_KES,PAYG_Daily_Payment_KES,Net_Savings_KES,Default_Probability,Default_Indicator,Churn_Probability,Churn_Indicator
RID-0001,SC-MATHARE,Mathare,-1.256445979981335,36.8382931128258,93.1,970.0,0.283,0.55,582.0,355.0,450.0,228.0,0.0179,0,0.3112,0
RID-0002,SC-EMBAKASI,Embakasi,-1.3023960429798809,36.91221171490567,70.3,935.0,0.28,1.91,451.0,270.0,450.0,182.0,0.0349,0,0.3446,0
RID-0003,SC-MAKADARA,Makadara,-1.2888041910413792,36.88161561451109,62.0,791.0,0.177,0.75,404.0,239.0,450.0,165.0,0.0245,0,0.2218,0
RID-0004,SC-MATHARE,Mathare,-1.243321556909022,36.87418360158457,64.4,766.0,0.16,2.27,418.0,248.0,450.0,170.0,0.0407,0,0.2774,1
RID-0005,SC-KIBRA,Kibra,-1.316403314229173,36.75178078132968,72.7,1093.0,0.198,2.42,465.0,279.0,450.0,186.0,0.0176,0,0.3187,0
RID-0006,SC-KIBRA,Kibra,-1.3064076356173482,36.78915375374326,74.7,890.0,0.217,1.0,477.0,286.0,450.0,191.0,0.022,0,0.2683,1
RID-0007,SC-DAGORETTI,Dagoretti,-1.2875684232560924,36.71846502848359,68.5,1063.0,0.137,0.47,441.0,263.0,450.0,178.0,0.0077,0,0.1984,0
RID-0008,SC-KAMUKUNJI,Kamukunji,-1.3066211308081652,36.866063057066654,60.6,823.0,0.271,2.26,396.0,234.0,450.0,162.0,0.0556,0,0.3427,1
RID-0009,SC-MATHARE,Mathare,-1.260791103077133,36.87863001394746,73.2,1036.0,0.197,1.63,468.0,281.0,450.0,187.0,0.0158,0,0.2817,0
RID-0010,SC-MAKADARA,Makadara,-1.2994336324773907,36.86059512278992,82.7,1261.0,0.16,1.26,523.0,316.0,450.0,207.0,0.0056,0,0.2556,0
